qset	tset	eval	qsetname	tsetname	Count
11239.0	12.0	2.312e-39	CP003928.1	AJ414696.1	1
10900.0	16.0	9.196999999999999e-23	CP002425.1	AJ344259.1	1
10901.0	16.0	1.201e-38	CP002426.1	AJ344259.1	3
4240.0	69.0	909.2	AP012489.1	HE580238.1	1
10923.0	77.0	2.5799999999999997e-29	CP002535.1	KU645528.1	7
15018.0	77.0	5.107	JH597761.1	KU645528.1	1
10900.0	79.0	7.504999999999999e-35	CP002425.1	KX712143.1	2
10901.0	79.0	2.3879999999999997e-37	CP002426.1	KX712143.1	1
11239.0	79.0	4.535e-38	CP003928.1	KX712143.1	1
7009.0	133.0	0.2125	AWTI01000039.1	AY050245.2	1
7012.0	133.0	1647.0	AWTL01000011.1	AY050245.2	1
7017.0	133.0	7824.0	AWTZ01000039.1	AY050245.2	1
7019.0	133.0	0.001119	AWUD01000008.1	AY050245.2	2
14162.0	133.0	143.9	HG316453.2	AY050245.2	2
11018.0	133.0	1.6119999999999999	CP002904.1	AY050245.2	1
10543.0	133.0	2.494	CP000829.1	AY050245.2	2
1710.0	133.0	7824.0	AIDX01000001.2	AY050245.2	1
11483.0	133.0	67.63	CP007241.1	AY050245.2	2
3371.0	133.0	6.655	ANCL01000112.1	AY050245.2	1
10578.0	193.0	1.145e-34	CP000967.2	AY299121.1	1
18986.0	198.0	480.1	JTUT01000042.1	AY394005.1	1
12323.0	198.0	1.2859999999999998e-06	CP013245.1	AY394005.1	1
18802.0	198.0	0.0001554	JTNY01000026.1	AY394005.1	1
10795.0	204.0	877.7	CP001962.1	AB063393.2	3
11100.0	204.0	947.3	CP003249.1	AB063393.2	1
4964.0	204.0	7824.0	AQOS01000050.1	AB063393.2	1
19318.0	213.0	235.1	JUNI01000515.1	AY007505.3	1
9294.0	213.0	837.7	CAUK01000004.1	AY007505.3	1
20373.0	213.0	2021.0	JYGU01000007.1	AY007505.3	1
13700.0	229.0	1.341	GG753626.1	AY320035.2	1
18908.0	231.0	147.7	JTRU01000024.1	AF232233.1	1
7424.0	231.0	770.4	AYSZ01000140.1	AF232233.1	1
28654.0	231.0	0.6182	LJZA01000248.1	AF232233.1	1
19059.0	231.0	6.517e-10	JTZE01000010.1	AF232233.1	1
19060.0	231.0	16.71	JTZE01000012.1	AF232233.1	1
29129.0	231.0	13.74	LLSZ01000047.1	AF232233.1	1
18762.0	231.0	4081.0	JTMH01000042.1	AF232233.1	1
2412.0	233.0	0.09158999999999999	AKYI02000055.1	AF396866.1	1
18921.0	236.0	1017.0	JTSI01000016.1	AB008550.1	1
18930.0	236.0	494.2	JTSP01000005.1	AB008550.1	1
18960.0	236.0	0.4476	JTTU01000017.1	AB008550.1	1
18961.0	236.0	22.48	JTTU01000039.1	AB008550.1	1
18969.0	236.0	0.07958	JTTZ01000025.1	AB008550.1	1
18970.0	236.0	0.1729	JTTZ01000081.1	AB008550.1	1
18977.0	236.0	0.0009253	JTUG01000013.1	AB008550.1	1
18984.0	236.0	487.3	JTUN01000039.1	AB008550.1	1
19288.0	236.0	2.541	JUKR01000152.1	AB008550.1	1
19289.0	236.0	0.0025989999999999997	JUKS01000002.1	AB008550.1	1
23040.0	236.0	3523.0	KK213183.1	AB008550.1	1
29807.0	236.0	2.185	LORB01000051.1	AB008550.1	1
12498.0	236.0	466.7	CTFO01000078.1	AB008550.1	1
28662.0	236.0	0.3588	LJZG01000151.1	AB008550.1	1
2437.0	236.0	79.86	AKZH01000075.1	AB008550.1	1
19336.0	236.0	0.027889999999999998	JUOL01000206.1	AB008550.1	1
27411.0	236.0	0.5051	LGJE01000059.1	AB008550.1	1
25405.0	236.0	3.864	KN716132.1	AB008550.1	2
19018.0	236.0	4.093999999999999	JTWP01000049.1	AB008550.1	1
19030.0	236.0	3708.0	JTXJ01000060.1	AB008550.1	1
19046.0	236.0	1179.0	JTYH01000004.1	AB008550.1	1
