qset	tset	eval	qsetname	tsetname
7.0	1403.0	1.693e-07	AADQ01000001.1	KJ094022.1
7.0	1426.0	3.903999999999999e-06	AADQ01000001.1	KJ094023.1
7.0	152.0	4.7689999999999996e-06	AADQ01000001.1	AJ312240.2
7.0	6248.0	1.751e-05	AADQ01000001.1	MH341453.1
7.0	1916.0	6.108e-05	AADQ01000001.1	KP399678.1
7.0	4361.0	0.0001686	AADQ01000001.1	KY705252.1
7.0	4364.0	0.0001686	AADQ01000001.1	KY705255.1
7.0	4048.0	0.0001686	AADQ01000001.1	KX879643.1
7.0	4360.0	0.0001686	AADQ01000001.1	KY705251.1
7.0	4362.0	0.0001686	AADQ01000001.1	KY705253.1
7.0	4363.0	0.0001686	AADQ01000001.1	KY705254.1
7.0	2033.0	0.00032710000000000004	AADQ01000001.1	KU160496.1
7.0	6247.0	0.00045339999999999996	AADQ01000001.1	MH341452.1
7.0	279.0	0.0006498999999999999	AADQ01000001.1	AJ242593.1
7.0	1070.0	0.02817	AADQ01000001.1	JX120799.2
7.0	3842.0	0.02957	AADQ01000001.1	KX077891.1
7.0	2024.0	0.1331	AADQ01000001.1	KT337370.1
7.0	4097.0	0.1331	AADQ01000001.1	KY065459.1
7.0	4099.0	0.1331	AADQ01000001.1	KY065461.1
7.0	4108.0	0.1331	AADQ01000001.1	KY065470.1
7.0	4109.0	0.1331	AADQ01000001.1	KY065471.1
7.0	456.0	0.1331	AADQ01000001.1	DQ003637.1
7.0	7788.0	0.3348	AADQ01000001.1	MH674343.1
29.0	166.0	5.735999999999998e-161	AAMY01000023.1	AF447491.1
29.0	3074.0	2.3319999999999994e-150	AAMY01000023.1	FM180578.1
29.0	3083.0	8.523999999999998e-150	AAMY01000023.1	KP682382.1
29.0	4850.0	8.687999999999996e-150	AAMY01000023.1	JQ347801.1
29.0	1669.0	3.0859999999999993e-149	AAMY01000023.1	KP682371.1
29.0	1697.0	3.0859999999999993e-149	AAMY01000023.1	HQ424691.1
29.0	2300.0	3.0859999999999993e-149	AAMY01000023.1	AP005154.1
29.0	3076.0	3.0859999999999993e-149	AAMY01000023.1	KP682372.1
